Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2019/10/29,24,MD,24041,Talbot County,6266,30915,154717,33537,42611,18674,22335,29001,5520,2043,665,140,191
County,2019/10/29,24,MD,24043,Washington County,25467,125582,649910,148984,127219,80216,99228,107641,62597,18688,3620,883,834
County,2019/10/29,24,MD,24045,Wicomico County,20476,83133,488424,115841,128059,67844,63448,68151,39379,4369,670,305,358
County,2019/10/29,24,MD,24047,Worcester County,10448,41828,204666,41194,54730,24268,31723,31070,18662,1963,801,180,75
County,2019/10/29,24,MD,24510,Baltimore city,168936,424554,2466409,816941,569578,309713,415277,306167,31777,9251,4945,1280,1480
County,2019/10/30,24,MD,24001,Allegany County,17776,52640,339397,74501,119785,50954,30805,41398,14050,6010,1687,111,96
County,2019/10/30,24,MD,24003,Anne Arundel County,119989,459245,2359845,600197,533172,251704,411923,448182,92302,10417,5321,1894,4733
County,2019/10/30,24,MD,24005,Baltimore County,180233,647137,3427643,821314,796570,379858,629698,679032,85588,19242,10091,3702,2548
County,2019/10/30,24,MD,24009,Calvert County,18159,74366,410677,77997,121826,45376,57033,67030,32414,6879,1639,288,195
County,2019/10/30,24,MD,24011,Caroline County,7087,26319,182770,64509,35919,12601,20791,33136,13677,1134,207,494,302
County,2019/10/30,24,MD,24013,Carroll County,29371,139076,831163,166145,258787,117467,109208,108663,61328,6249,1586,612,1118
County,2019/10/30,24,MD,24015,Cecil County,20002,82853,473845,92039,94566,44477,84955,117545,33895,3197,2304,452,415
County,2019/10/30,24,MD,24017,Charles County,29070,134187,685900,121738,173406,72328,100194,162891,48725,3986,1532,306,794
County,2019/10/30,24,MD,24019,Dorchester County,7617,24312,167489,31950,50390,17674,11509,44422,9256,1640,459,82,107
County,2019/10/30,24,MD,24021,Frederick County,52426,207121,1155502,266253,280000,136350,142137,197827,107382,19998,3542,1038,975
County,2019/10/30,24,MD,24023,Garrett County,4835,24179,152489,19420,52969,13531,29898,22977,10535,1792,1243,55,69
County,2019/10/30,24,MD,24025,Harford County,46934,208507,1059711,203513,230867,122523,175911,250562,63877,6439,3835,1364,820
County,2019/10/30,24,MD,24027,Howard County,64278,261412,1429416,314773,331006,159133,270432,286092,52665,5987,4813,1384,3131
County,2019/10/30,24,MD,24029,Kent County,4512,14910,98056,28808,25061,5921,14474,17140,5211,1118,203,120,0
County,2019/10/30,24,MD,24031,Montgomery County,236069,814619,4220866,1104608,999844,525508,752029,691051,124213,12788,6148,1983,2694
County,2019/10/30,24,MD,24033,Prince George's County,195911,713416,3660861,917884,850674,451092,662470,671987,88041,9379,6468,770,2096
County,2019/10/30,24,MD,24035,Queen Anne's County,8740,41641,270576,58708,56859,37813,30716,56421,23937,5446,188,131,357
County,2019/10/30,24,MD,24037,St. Mary's County,20640,92870,492548,101673,126783,72035,86353,73950,24972,5821,497,303,161
County,2019/10/30,24,MD,24039,Somerset County,5517,20099,97419,15092,23149,8539,12377,26985,10194,785,184,0,114
County,2019/10/30,24,MD,24041,Talbot County,8661,28520,160493,31458,45712,16649,24209,31677,7959,1963,731,135,0
County,2019/10/30,24,MD,24043,Washington County,32455,118594,644353,129914,125669,93935,106169,109212,54813,18818,3359,994,1470
County,2019/10/30,24,MD,24045,Wicomico County,24372,79237,511800,124508,138961,62792,70030,68338,42236,3277,651,524,483
County,2019/10/30,24,MD,24047,Worcester County,12449,39827,203443,49526,51638,20910,32020,32439,13625,2318,716,205,46
County,2019/10/30,24,MD,24510,Baltimore city,193737,399753,2432345,843771,599482,306069,380530,258310,25420,8744,6422,2075,1522
County,2019/10/31,24,MD,24001,Allegany County,14601,55815,352310,79560,115276,54990,30044,42803,21204,6808,1286,204,135
County,2019/10/31,24,MD,24003,Anne Arundel County,92883,486351,2265379,536957,488650,258926,383762,465573,107598,10421,7337,1865,4290
County,2019/10/31,24,MD,24005,Baltimore County,145575,681795,3405131,781941,745987,384665,632627,713385,107102,22433,11054,3774,2163
County,2019/10/31,24,MD,24009,Calvert County,13508,79017,380465,87611,90714,41935,52535,67008,32093,7327,780,137,325
County,2019/10/31,24,MD,24011,Caroline County,4679,28727,166065,38610,34140,15516,24348,37170,13247,2608,127,91,208
County,2019/10/31,24,MD,24013,Carroll County,19869,148578,725788,128697,192392,97877,105636,120291,71256,6377,1912,524,826
County,2019/10/31,24,MD,24015,Cecil County,14863,87992,445070,83384,78023,46246,82102,117150,32576,3075,1886,511,117
County,2019/10/31,24,MD,24017,Charles County,21415,141842,653553,119124,147770,71214,99427,154806,55541,2969,1833,133,736
County,2019/10/31,24,MD,24019,Dorchester County,5819,26110,168525,36804,57436,12339,9469,35962,13896,1941,468,181,29
County,2019/10/31,24,MD,24021,Frederick County,38431,221116,1056291,243683,233056,120651,128478,190655,114977,19623,3447,598,1123
County,2019/10/31,24,MD,24023,Garrett County,3632,25382,140198,24289,38213,17324,21991,20840,14933,1637,878,57,36
County,2019/10/31,24,MD,24025,Harford County,33416,222025,999440,180004,214682,109942,166972,236505,79443,7725,2600,873,694
County,2019/10/31,24,MD,24027,Howard County,48843,276847,1286442,266532,271877,147818,248227,278538,57732,7990,4465,977,2286
County,2019/10/31,24,MD,24029,Kent County,3524,15898,83888,24082,20839,5479,11907,15724,4637,941,261,0,18
County,2019/10/31,24,MD,24031,Montgomery County,191194,859494,4286501,1052047,1016186,532350,765734,752735,145490,11970,6289,1471,2229
County,2019/10/31,24,MD,24033,Prince George's County,159059,750268,3761096,923272,835124,429481,683298,761763,106359,12920,5946,1085,1848
County,2019/10/31,24,MD,24035,Queen Anne's County,7016,43365,230499,45942,45966,33353,26572,51718,22475,3551,336,268,318
County,2019/10/31,24,MD,24037,St. Mary's County,14149,99361,484714,86286,125520,74493,91554,77395,23534,4223,971,418,320
County,2019/10/31,24,MD,24039,Somerset County,4479,21137,112315,23793,23455,15361,15007,24894,8977,724,25,54,25
County,2019/10/31,24,MD,24041,Talbot County,6495,30686,153518,36415,40162,17841,19473,29945,6762,2380,296,187,57
County,2019/10/31,24,MD,24043,Washington County,25426,125623,647766,143471,125371,81536,103813,104096,64458,20025,3319,959,718
County,2019/10/31,24,MD,24045,Wicomico County,18993,84616,496678,112826,141552,66466,66829,64279,39350,3482,816,788,290
County,2019/10/31,24,MD,24047,Worcester County,9902,42374,209692,45351,52759,23599,34265,34895,14976,2507,522,728,90
County,2019/10/31,24,MD,24510,Baltimore city,162600,430890,2527555,819271,628476,320462,428694,282176,31093,8338,5688,1605,1752
County,2019/11/01,24,MD,24001,Allegany County,14336,56080,350600,73931,110153,48133,41143,49343,17065,8650,1912,219,51
County,2019/11/01,24,MD,24003,Anne Arundel County,88439,490795,2389868,527130,527588,281284,421987,490729,112295,13508,9527,2018,3802
County,2019/11/01,24,MD,24005,Baltimore County,138523,688847,3671356,850619,827139,406659,671818,756032,115205,23829,13195,4974,1886
County,2019/11/01,24,MD,24009,Calvert County,13930,78595,383470,77341,100546,51475,54957,60642,28817,7084,2289,73,246
County,2019/11/01,24,MD,24011,Caroline County,4982,28424,168767,38644,30456,14943,24087,39662,17558,2681,206,98,432
County,2019/11/01,24,MD,24013,Carroll County,19556,148891,797424,148354,213430,114699,110130,128374,71941,7065,1798,1090,543
County,2019/11/01,24,MD,24015,Cecil County,14306,88549,496478,88600,92471,49412,84222,139769,34946,4300,2177,344,237
County,2019/11/01,24,MD,24017,Charles County,20372,142885,672378,113521,157256,71210,99036,166546,56016,5369,2475,423,526
County,2019/11/01,24,MD,24019,Dorchester County,5542,26387,177049,41988,54889,14824,10694,35913,16261,1827,356,268,29
County,2019/11/01,24,MD,24021,Frederick County,37400,222147,1158237,260511,255526,127758,156624,202224,123527,24693,5247,1018,1109
County,2019/11/01,24,MD,24023,Garrett County,3196,25818,163073,23832,44642,21453,27878,27697,14341,2246,843,55,86
County,2019/11/01,24,MD,24025,Harford County,33598,221843,1122006,209229,249597,129168,184822,255915,76592,10297,4159,901,1326
County,2019/11/01,24,MD,24027,Howard County,47442,278248,1419336,306098,307221,155571,270689,297158,64689,10950,4502,960,1498
County,2019/11/01,24,MD,24029,Kent County,3049,16373,87421,25945,19565,8009,10929,14908,7282,575,143,57,8
County,2019/11/01,24,MD,24031,Montgomery County,181835,868853,4499325,1136288,1040281,549378,824460,762320,156151,16535,9235,2015,2662
County,2019/11/01,24,MD,24033,Prince George's County,151154,758173,3961702,959835,878393,454377,732077,792567,116883,15545,8666,1338,2021
County,2019/11/01,24,MD,24035,Queen Anne's County,5941,44440,228612,38266,48132,31290,26966,57314,22116,3442,651,259,176
County,2019/11/01,24,MD,24037,St. Mary's County,14906,98604,522381,98285,142575,72595,93197,80071,27420,6226,1386,392,234
County,2019/11/01,24,MD,24039,Somerset County,4296,21320,116954,22448,20233,13485,15501,32985,10275,1754,238,0,35
County,2019/11/01,24,MD,24041,Talbot County,5996,31185,172027,40473,41696,24011,23767,32487,6002,2870,372,183,166
County,2019/11/01,24,MD,24043,Washington County,24923,126126,686667,163410,142146,91399,102344,106578,58134,17052,4035,891,678
County,2019/11/01,24,MD,24045,Wicomico County,19137,84472,526979,106827,148655,73089,68477,81486,42370,4439,795,530,311
County,2019/11/01,24,MD,24047,Worcester County,9673,42603,225187,54870,52775,23372,36259,37695,16295,2634,962,262,63
County,2019/11/01,24,MD,24510,Baltimore city,158350,435140,2691810,864071,696380,339183,441245,299164,32703,10559,5352,1373,1780
County,2019/11/02,24,MD,24510,Baltimore city,172881,420609,2488685,788221,623838,324349,415724,283669,32020,11462,6046,1848,1508
County,2019/11/02,24,MD,24047,Worcester County,10724,41552,226001,51460,56968,27953,33332,34616,19014,1944,490,134,90
County,2019/11/02,24,MD,24045,Wicomico County,20489,83120,497398,117330,139043,63179,64266,70529,36813,4866,565,600,207
County,2019/11/02,24,MD,24043,Washington County,28151,122898,656246,129150,137713,103505,106307,105868,53693,13698,4982,766,564
County,2019/11/02,24,MD,24041,Talbot County,7031,30150,147469,29390,38055,19356,22658,28011,6866,2199,591,145,198
County,2019/11/02,24,MD,24039,Somerset County,4527,21089,123567,24480,29303,9223,21464,26217,11154,1453,171,60,42
County,2019/11/02,24,MD,24037,St. Mary's County,17005,96505,500528,102090,127878,65905,96906,77089,22091,5956,1802,469,342
County,2019/11/02,24,MD,24035,Queen Anne's County,7109,43272,226674,45082,51464,20365,23746,52499,27098,4595,1445,161,219
County,2019/11/02,24,MD,24033,Prince George's County,171666,737661,3826881,932230,853709,456861,701082,739776,110888,19321,9658,1464,1892
County,2019/11/02,24,MD,24031,Montgomery County,202840,847848,4385720,1095672,1057774,541385,763384,736011,154405,20309,11364,2980,2436
County,2019/11/02,24,MD,24029,Kent County,3849,15573,76056,18037,15663,8141,11258,16383,5386,953,127,75,33
County,2019/11/02,24,MD,24027,Howard County,54523,271167,1376496,301163,295385,165133,246382,289962,57336,12202,4723,1231,2979
County,2019/11/02,24,MD,24025,Harford County,38365,217076,1151828,209364,279051,139726,192295,252548,60958,11138,5342,636,770
County,2019/11/02,24,MD,24023,Garrett County,4260,24754,147494,26117,49315,17995,23148,16619,11818,1661,718,81,22
County,2019/11/02,24,MD,24021,Frederick County,43352,216195,1099561,250228,255248,130301,138858,201251,94275,23411,4408,887,694
County,2019/11/02,24,MD,24019,Dorchester County,5992,25937,155401,45573,44528,13534,10198,28239,10375,2305,459,105,85
County,2019/11/02,24,MD,24017,Charles County,24303,138954,650199,110339,152100,74456,99720,153358,49525,6834,3011,474,382
County,2019/11/02,24,MD,24015,Cecil County,17193,85662,482981,87717,83194,58913,95672,126840,24076,4166,1910,396,97
County,2019/11/02,24,MD,24013,Carroll County,24393,144054,748763,138697,207418,111097,112028,114756,52799,8919,1948,662,439
County,2019/11/02,24,MD,24011,Caroline County,5577,27829,169806,33709,39652,18839,23334,35373,15464,3087,83,60,205
County,2019/11/02,24,MD,24009,Calvert County,16602,75923,413268,91866,106368,53738,64245,62691,24915,5958,2870,262,355
County,2019/11/02,24,MD,24005,Baltimore County,154704,672666,3542604,790773,825412,405977,672348,686144,112514,28548,13908,4438,2542
County,2019/11/02,24,MD,24003,Anne Arundel County,103324,475910,2296327,486933,503406,261046,455126,453148,104743,17004,9672,1627,3622
County,2019/11/02,24,MD,24001,Allegany County,15825,54591,350044,94968,106911,48527,38660,39760,14426,5315,1153,224,100
County,2019/11/03,24,MD,24001,Allegany County,16362,54054,293381,53730,95947,50048,33121,38438,16087,4214,1595,93,108
County,2019/11/03,24,MD,24003,Anne Arundel County,108375,470859,2071682,453608,484973,248002,392152,372931,84611,17013,10400,2985,5007
County,2019/11/03,24,MD,24005,Baltimore County,163001,664369,3196777,755440,737120,363982,592423,612953,84085,27729,14615,6158,2272
County,2019/11/03,24,MD,24009,Calvert County,18432,74093,367885,74850,98917,46069,63996,52416,22620,5190,3077,406,344
County,2019/11/03,24,MD,24011,Caroline County,6085,27321,167781,37106,46018,18448,19065,28774,15323,2599,90,259,99
County,2019/11/03,24,MD,24013,Carroll County,26054,142393,676017,137531,197405,104115,82406,100684,43892,5278,2999,1061,646
County,2019/11/03,24,MD,24015,Cecil County,18473,84382,418207,78806,83509,47125,83009,92641,25743,4392,2195,424,363
County,2019/11/03,24,MD,24017,Charles County,26764,136493,605435,111546,147320,64329,85541,137847,47940,6803,3230,538,341
County,2019/11/03,24,MD,24019,Dorchester County,7352,24577,163476,46322,54382,17574,11443,24475,6023,2052,687,391,127
County,2019/11/03,24,MD,24021,Frederick County,45763,213784,960843,214716,216649,115887,126189,164118,91475,23131,6093,1409,1176
County,2019/11/03,24,MD,24023,Garrett County,4495,24519,122769,18068,35521,16008,25351,18689,7290,930,708,85,119
County,2019/11/03,24,MD,24025,Harford County,41289,214152,953302,172545,230876,111853,156748,197511,67775,8728,5265,1117,884
County,2019/11/03,24,MD,24027,Howard County,57222,268468,1210485,291853,249012,128828,228021,248796,46289,9418,5671,843,1754
County,2019/11/03,24,MD,24029,Kent County,4030,15392,82098,21814,17799,9198,18036,10279,3941,592,295,131,13
County,2019/11/03,24,MD,24031,Montgomery County,218354,832334,4044576,1005050,970898,503882,700428,679819,141293,22635,14139,2808,3624
County,2019/11/03,24,MD,24033,Prince George's County,182779,726548,3401074,824235,750647,410347,636027,642520,101677,18650,12536,2001,2434
County,2019/11/03,24,MD,24035,Queen Anne's County,7730,42651,190703,32086,44188,25211,21637,40456,19351,5661,1537,343,233
County,2019/11/03,24,MD,24037,St. Mary's County,18372,95138,457287,97650,122318,68748,73378,67359,20026,4938,1918,687,265
County,2019/11/03,24,MD,24039,Somerset County,4477,21139,92380,13155,24032,10896,11669,21023,10034,1133,257,181,0
County,2019/11/03,24,MD,24041,Talbot County,7763,29418,135979,31324,35727,16943,23457,21954,3988,1703,400,253,230
County,2019/11/03,24,MD,24043,Washington County,29290,121759,581409,132619,130160,79360,95641,83968,40740,13671,2899,1502,849
County,2019/11/03,24,MD,24045,Wicomico County,22026,81583,462513,109783,137674,59836,54109,62788,32521,4253,847,513,189
County,2019/11/03,24,MD,24047,Worcester County,11217,41059,187952,41731,45671,21430,29905,30223,15081,2489,1149,187,86
County,2019/11/03,24,MD,24510,Baltimore city,182077,411413,2202269,739129,528891,285845,360234,236677,29032,10754,7947,1800,1960
County,2019/11/04,24,MD,24001,Allegany County,15055,55361,339139,68296,107595,60172,32669,47775,13706,7506,1145,180,95
County,2019/11/04,24,MD,24003,Anne Arundel County,93097,486137,2174187,470784,450617,236648,391794,484407,113986,12139,7972,2075,3765
County,2019/11/04,24,MD,24005,Baltimore County,144817,682553,3415482,766159,742305,380141,624357,761107,101120,24386,11015,2602,2290
County,2019/11/04,24,MD,24009,Calvert County,13944,78581,349949,65495,89863,42365,50226,57517,35322,6927,1559,309,366
County,2019/11/04,24,MD,24011,Caroline County,4824,28582,157233,40203,29931,14355,19385,33513,16297,2861,38,485,165
County,2019/11/04,24,MD,24013,Carroll County,22147,146300,681078,123315,166901,93745,94508,116278,77217,6138,1988,625,363
County,2019/11/04,24,MD,24015,Cecil County,16234,86621,446461,84984,66268,49955,71976,130056,35609,4611,2251,415,336
County,2019/11/04,24,MD,24017,Charles County,22406,140851,625373,107428,146115,69995,83912,150162,60265,4963,1592,421,520
County,2019/11/04,24,MD,24019,Dorchester County,5752,26177,160825,40037,45576,13897,11119,33667,13550,2401,356,167,55
County,2019/11/04,24,MD,24021,Frederick County,38997,220550,1018662,222858,212826,112023,121943,196213,119568,28357,3031,800,1043
County,2019/11/04,24,MD,24023,Garrett County,4402,24612,144702,22145,43663,13491,24333,25189,13820,1204,737,28,92
County,2019/11/04,24,MD,24025,Harford County,35356,220085,993193,185793,210683,108615,162192,233670,76210,10357,3543,965,1165
County,2019/11/04,24,MD,24027,Howard County,49332,276358,1287140,308745,250966,136604,242518,276935,54396,10064,3891,839,2182
County,2019/11/04,24,MD,24029,Kent County,3211,16211,83120,19128,19223,10847,12682,15459,4789,850,121,0,21
County,2019/11/04,24,MD,24031,Montgomery County,193031,857657,4241935,1068671,968727,513585,759414,754037,151579,11967,8218,1930,3807
County,2019/11/04,24,MD,24033,Prince George's County,162094,747233,3787317,919193,819209,442796,699100,768127,113918,13478,8054,1185,2257
